,Year,CO3,Ca,Cl,HCO3,K,Mg,Na,SO4
"	KMS10",2017,0.05,7,59,22,2.3,7,37.2,0.05
"	KMS11",2017,0.05,10,79,36,3.1,13.6,59,2
"	KMS12",2017,0.05,1.4,23,22,1.2,4.1,16,0.05
"	KMS13",2017,0.05,38.6,49,149,0.2,11.2,37.3,0.05
"	KMS14",2017,0.05,261,778,29,29.1,196,1380,27
"	KMS15",2017,0.05,35,28,86,1.4,10.3,34.1,0.05
"	KMS16",2017,0.05,20.3,128,30,3.8,19.4,116,0.05
"	KMS17",2017,0.05,3.1,23,15,5.5,2.3,16.3,20
"	KMS18",2017,0.05,27.4,43,111,6.9,20.4,49.9,14
KMS04,2016,0.05,6.2,44,42,1.5,5.7,29.7,10
KMS19,2016,0.05,0.7,5,3,0.05,0.3,3.3,0.05
KMS20,2016,0.05,0.6,2,3,0.3,0.3,1.2,0.05
KMS21,2016,0.05,0.5,5,2,0.1,0.5,2.9,0.05
KMS22,2016,0.05,0.9,9,0.05,0.5,0.4,4.1,0.05
KMS23,2016,0.05,0.5,5,5,0.3,0.5,3,0.05
